aqi,aqiLevel,bWendu,city,date,yWendu,fengli_encode,tianqi_1_encode,tianqi_2_encode
100,2,16,杭州,2017-04-01,6,0,3,0
78,2,22,杭州,2017-04-02,10,0,0,0
82,2,23,杭州,2017-04-03,12,0,3,3
65,2,25,杭州,2017-04-04,15,2,3,6
65,2,25,杭州,2017-04-05,16,0,4,4
139,3,27,杭州,2017-04-06,18,0,14,14
65,2,21,杭州,2017-04-07,15,2,6,4
89,2,25,杭州,2017-04-08,15,2,3,18
43,1,19,杭州,2017-04-09,11,3,14,5
32,1,14,杭州,2017-04-10,11,0,6,5
38,1,15,杭州,2017-04-11,10,2,4,3
62,2,18,杭州,2017-04-12,8,0,3,3
70,2,23,杭州,2017-04-13,11,2,0,0
69,2,28,杭州,2017-04-14,15,2,0,0
78,2,31,杭州,2017-04-15,17,0,3,3
80,2,30,杭州,2017-04-16,21,0,6,5
44,1,25,杭州,2017-04-17,16,2,5,3
72,2,29,杭州,2017-04-18,14,2,0,3
90,2,28,杭州,2017-04-19,18,2,6,7
76,2,26,杭州,2017-04-20,15,2,3,3
79,2,23,杭州,2017-04-21,11,3,3,3
68,2,21,杭州,2017-04-22,11,2,0,0
89,2,24,杭州,2017-04-23,12,2,0,3
87,2,27,杭州,2017-04-24,16,2,0,3
86,2,25,杭州,2017-04-25,17,2,6,18
41,1,20,杭州,2017-04-26,13,2,5,6
51,2,21,杭州,2017-04-27,11,2,3,3
66,2,26,杭州,2017-04-28,12,2,0,0
69,2,28,杭州,2017-04-29,14,0,0,0
72,2,29,杭州,2017-04-30,16,2,3,3
82,2,30,杭州,2017-05-01,19,0,6,14
49,1,22,杭州,2017-05-02,18,2,6,4
44,1,25,杭州,2017-05-03,19,3,4,6
41,1,24,杭州,2017-05-04,17,3,14,3
43,1,27,杭州,2017-05-05,17,0,3,3
70,2,25,杭州,2017-05-06,15,0,3,3
93,2,26,杭州,2017-05-07,16,0,3,6
88,2,23,杭州,2017-05-08,18,2,14,5
52,2,27,杭州,2017-05-09,16,3,3,0
67,2,32,杭州,2017-05-10,17,0,0,0
71,2,33,杭州,2017-05-11,21,0,3,14
57,2,22,杭州,2017-05-12,16,3,14,4
49,1,29,杭州,2017-05-13,17,0,3,3
72,2,31,杭州,2017-05-14,18,0,3,3
64,2,26,杭州,2017-05-15,19,2,6,6
51,2,23,杭州,2017-05-16,16,0,6,4
71,2,27,杭州,2017-05-17,18,0,3,0
78,2,30,杭州,2017-05-18,17,0,0,0
70,2,30,杭州,2017-05-19,18,0,3,3
70,2,29,杭州,2017-05-20,19,2,4,3
56,2,30,杭州,2017-05-21,20,2,3,3
77,2,30,杭州,2017-05-22,21,2,3,4
78,2,29,杭州,2017-05-23,20,2,14,6
46,1,24,杭州,2017-05-24,16,3,4,3
56,2,28,杭州,2017-05-25,17,0,0,0
80,2,31,杭州,2017-05-26,16,0,0,0
103,3,31,杭州,2017-05-27,18,0,0,0
83,2,32,杭州,2017-05-28,19,0,0,0
70,2,33,杭州,2017-05-29,20,0,0,0
64,2,33,杭州,2017-05-30,22,0,3,3
97,2,33,杭州,2017-05-31,23,0,6,6
105,3,29,杭州,2017-06-01,23,0,6,3
79,2,29,杭州,2017-06-02,21,2,3,3
70,2,31,杭州,2017-06-03,22,0,3,0
47,1,29,杭州,2017-06-04,20,2,3,4
39,1,23,杭州,2017-06-05,20,0,17,6
41,1,27,杭州,2017-06-06,20,0,6,4
47,1,30,杭州,2017-06-07,21,3,3,3
94,2,32,杭州,2017-06-08,23,0,3,4
72,2,30,杭州,2017-06-09,24,2,6,6
34,1,30,杭州,2017-06-10,22,3,7,14
32,1,25,杭州,2017-06-11,21,3,17,17
30,1,23,杭州,2017-06-12,19,2,17,17
31,1,22,杭州,2017-06-13,20,0,17,6
39,1,26,杭州,2017-06-14,19,0,6,4
54,2,28,杭州,2017-06-15,19,0,4,4
57,2,27,杭州,2017-06-16,18,2,4,3
46,1,28,杭州,2017-06-17,19,0,3,3
42,1,30,杭州,2017-06-18,21,0,3,4
36,1,27,杭州,2017-06-19,22,0,6,6
48,1,26,杭州,2017-06-20,22,0,6,4
57,2,29,杭州,2017-06-21,22,0,6,6
42,1,28,杭州,2017-06-22,22,0,6,4
50,1,28,杭州,2017-06-23,25,0,14,14
23,1,28,杭州,2017-06-24,23,0,23,18
27,1,26,杭州,2017-06-25,21,0,23,6
47,1,28,杭州,2017-06-26,21,0,4,4
50,1,28,杭州,2017-06-27,22,0,6,6
45,1,27,杭州,2017-06-28,22,0,6,14
30,1,28,杭州,2017-06-29,24,0,6,6
38,1,32,杭州,2017-06-30,25,0,3,3
48,1,34,杭州,2017-07-01,25,0,3,3
46,1,34,杭州,2017-07-02,26,0,3,3
27,1,33,杭州,2017-07-03,25,0,7,6
27,1,33,杭州,2017-07-04,25,0,7,3
38,1,32,杭州,2017-07-05,25,0,7,3
32,1,34,杭州,2017-07-06,26,0,7,3
38,1,35,杭州,2017-07-07,27,2,3,0
34,1,34,杭州,2017-07-08,28,2,7,3
32,1,34,杭州,2017-07-09,28,0,7,3
31,1,34,杭州,2017-07-10,24,0,5,5
28,1,31,杭州,2017-07-11,26,0,6,4
46,1,35,杭州,2017-07-12,27,0,3,3
50,1,37,杭州,2017-07-13,28,0,3,3
53,2,36,杭州,2017-07-14,28,0,7,3
53,2,37,杭州,2017-07-15,27,0,3,0
53,2,38,杭州,2017-07-16,28,2,0,0
37,1,38,杭州,2017-07-17,28,0,0,0
39,1,37,杭州,2017-07-18,29,0,0,0
40,1,38,杭州,2017-07-19,29,0,3,3
43,1,37,杭州,2017-07-20,29,0,0,3
53,2,38,杭州,2017-07-21,29,0,0,0
76,2,40,杭州,2017-07-22,29,0,0,0
78,2,40,杭州,2017-07-23,29,0,0,0
85,2,41,杭州,2017-07-24,29,0,0,0
86,2,40,杭州,2017-07-25,29,0,0,0
104,3,40,杭州,2017-07-26,29,2,0,0
90,2,40,杭州,2017-07-27,29,0,0,0
63,2,39,杭州,2017-07-28,29,0,0,0
41,1,37,杭州,2017-07-29,28,0,3,4
32,1,34,杭州,2017-07-30,28,3,6,6
32,1,34,杭州,2017-07-31,29,3,6,6
30,1,36,杭州,2017-08-01,28,3,6,3
31,1,34,杭州,2017-08-02,27,2,3,3
45,1,37,杭州,2017-08-03,28,0,3,3
53,2,38,杭州,2017-08-04,28,0,0,3
52,2,37,杭州,2017-08-05,28,2,7,3
56,2,35,杭州,2017-08-06,28,0,6,3
58,2,38,杭州,2017-08-07,29,0,3,3
49,1,38,杭州,2017-08-08,27,0,7,6
34,1,33,杭州,2017-08-09,27,0,14,6
36,1,33,杭州,2017-08-10,26,0,4,3
61,2,36,杭州,2017-08-11,27,0,3,3
47,1,33,杭州,2017-08-12,27,0,7,3
39,1,35,杭州,2017-08-13,27,0,3,3
34,1,34,杭州,2017-08-14,27,0,7,4
38,1,33,杭州,2017-08-15,26,0,7,3
26,1,33,杭州,2017-08-16,26,0,7,3
39,1,35,杭州,2017-08-17,26,0,3,3
44,1,36,杭州,2017-08-18,27,0,6,3
50,1,35,杭州,2017-08-19,27,0,7,3
38,1,35,杭州,2017-08-20,26,0,7,6
53,2,34,杭州,2017-08-21,26,0,7,3
36,1,34,杭州,2017-08-22,27,3,7,3
31,1,37,杭州,2017-08-23,27,2,3,3
28,1,37,杭州,2017-08-24,27,0,0,3
39,1,35,杭州,2017-08-25,27,0,7,6
29,1,31,杭州,2017-08-26,26,2,6,0
38,1,36,杭州,2017-08-27,26,0,3,0
35,1,37,杭州,2017-08-28,27,0,0,0
51,2,34,杭州,2017-08-29,26,0,7,3
39,1,32,杭州,2017-08-30,25,2,7,6
37,1,30,杭州,2017-08-31,24,0,3,3
48,1,29,杭州,2017-09-01,23,0,3,3
48,1,30,杭州,2017-09-02,24,0,3,3
40,1,30,杭州,2017-09-03,24,0,6,3
44,1,33,杭州,2017-09-04,25,2,3,3
78,2,35,杭州,2017-09-05,26,0,3,3
87,2,33,杭州,2017-09-06,25,0,7,6
35,1,29,杭州,2017-09-07,24,0,6,6
39,1,29,杭州,2017-09-08,24,0,4,3
40,1,29,杭州,2017-09-09,25,2,6,3
43,1,33,杭州,2017-09-10,25,0,3,3
27,1,27,杭州,2017-09-11,23,2,6,6
39,1,27,杭州,2017-09-12,22,0,4,3
54,2,29,杭州,2017-09-13,21,2,3,3
43,1,26,杭州,2017-09-14,22,2,6,6
45,1,26,杭州,2017-09-15,22,4,6,6
48,1,28,杭州,2017-09-16,19,3,3,3
58,2,30,杭州,2017-09-17,19,0,0,0
85,2,31,杭州,2017-09-18,21,0,0,3
120,3,32,杭州,2017-09-19,21,0,3,14
49,1,25,杭州,2017-09-20,21,0,18,14
26,1,23,杭州,2017-09-21,20,0,6,4
45,1,26,杭州,2017-09-22,20,0,6,6
34,1,24,杭州,2017-09-23,21,0,14,6
58,2,28,杭州,2017-09-24,21,0,6,3
84,2,30,杭州,2017-09-25,23,2,6,3
68,2,30,杭州,2017-09-26,25,0,7,3
44,1,29,杭州,2017-09-27,21,0,7,6
28,1,22,杭州,2017-09-28,16,0,5,3
43,1,24,杭州,2017-09-29,20,0,4,6
50,1,25,杭州,2017-09-30,22,2,6,3
53,2,34,杭州,2017-10-01,23,0,0,3
57,2,28,杭州,2017-10-02,21,0,6,6
43,1,23,杭州,2017-10-03,19,3,4,3
40,1,23,杭州,2017-10-04,18,0,4,4
46,1,23,杭州,2017-10-05,18,0,4,4
61,2,24,杭州,2017-10-06,18,0,4,3
79,2,27,杭州,2017-10-07,19,0,0,3
71,2,29,杭州,2017-10-08,20,0,0,3
54,2,30,杭州,2017-10-09,22,2,3,3
51,2,32,杭州,2017-10-10,21,0,3,5
38,1,24,杭州,2017-10-11,19,3,5,5
26,1,19,杭州,2017-10-12,16,2,5,5
33,1,20,杭州,2017-10-13,17,2,4,4
39,1,19,杭州,2017-10-14,16,3,6,14
25,1,19,杭州,2017-10-15,17,3,14,14
21,1,18,杭州,2017-10-16,16,3,6,6
33,1,19,杭州,2017-10-17,16,2,5,4
51,2,21,杭州,2017-10-18,15,2,3,3
51,2,21,杭州,2017-10-19,16,0,4,6
53,2,21,杭州,2017-10-20,14,3,4,3
55,2,22,杭州,2017-10-21,14,3,3,3
74,2,23,杭州,2017-10-22,13,3,3,3
66,2,21,杭州,2017-10-23,12,2,3,0
59,2,21,杭州,2017-10-24,10,2,0,0
68,2,22,杭州,2017-10-25,12,0,3,3
66,2,22,杭州,2017-10-26,12,0,3,3
75,2,23,杭州,2017-10-27,13,0,0,0
66,2,22,杭州,2017-10-28,13,2,0,3
80,2,21,杭州,2017-10-29,10,3,4,3
54,2,16,杭州,2017-10-30,10,2,3,3
65,2,20,杭州,2017-10-31,10,0,0,0
69,2,22,杭州,2017-11-01,12,0,3,3
78,2,24,杭州,2017-11-02,12,0,3,3
102,3,22,杭州,2017-11-03,9,3,4,3
48,1,17,杭州,2017-11-04,8,2,3,3
56,2,18,杭州,2017-11-05,11,0,3,3
83,2,21,杭州,2017-11-06,14,0,3,3
80,2,20,杭州,2017-11-07,14,0,5,4
109,3,21,杭州,2017-11-08,12,0,3,0
69,2,22,杭州,2017-11-09,14,2,0,3
80,2,20,杭州,2017-11-10,12,2,5,4
63,2,18,杭州,2017-11-11,11,2,3,3
58,2,19,杭州,2017-11-12,13,0,3,4
75,2,20,杭州,2017-11-13,15,0,5,5
90,2,17,杭州,2017-11-14,13,0,4,4
67,2,17,杭州,2017-11-15,14,0,4,3
36,1,18,杭州,2017-11-16,15,0,5,5
33,1,18,杭州,2017-11-17,9,3,5,5
34,1,14,杭州,2017-11-18,6,4,4,3
49,1,12,杭州,2017-11-19,6,2,3,5
55,2,12,杭州,2017-11-20,8,0,4,4
70,2,11,杭州,2017-11-21,9,0,5,5
59,2,14,杭州,2017-11-22,6,2,3,0
104,3,12,杭州,2017-11-23,5,0,0,3
72,2,15,杭州,2017-11-24,6,0,3,3
64,2,16,杭州,2017-11-25,8,0,3,4
70,2,18,杭州,2017-11-26,6,0,3,3
117,3,16,杭州,2017-11-27,9,0,3,3
98,2,20,杭州,2017-11-28,10,0,3,5
108,3,14,杭州,2017-11-29,10,2,14,8
40,1,12,杭州,2017-11-30,7,2,5,4
63,2,10,杭州,2017-12-01,6,0,4,4
90,2,13,杭州,2017-12-02,6,0,3,3
96,2,16,杭州,2017-12-03,7,0,4,4
124,3,12,杭州,2017-12-04,3,3,3,3
80,2,10,杭州,2017-12-05,3,0,0,3
98,2,12,杭州,2017-12-06,5,0,0,0
148,3,13,杭州,2017-12-07,4,0,3,3
99,2,9,杭州,2017-12-08,1,2,0,3
64,2,11,杭州,2017-12-09,3,0,0,3
83,2,13,杭州,2017-12-10,2,2,0,0
89,2,12,杭州,2017-12-11,3,2,0,0
96,2,12,杭州,2017-12-12,4,2,3,3
49,1,11,杭州,2017-12-13,5,2,4,5
59,2,8,杭州,2017-12-14,7,0,5,4
44,1,8,杭州,2017-12-15,5,0,5,5
97,2,6,杭州,2017-12-16,-2,3,4,0
88,2,6,杭州,2017-12-17,-2,2,0,0
72,2,8,杭州,2017-12-18,0,0,0,0
84,2,10,杭州,2017-12-19,1,2,0,0
81,2,12,杭州,2017-12-20,0,0,0,0
88,2,12,杭州,2017-12-21,0,0,0,0
114,3,15,杭州,2017-12-22,4,0,0,3
130,3,16,杭州,2017-12-23,7,2,3,3
123,3,13,杭州,2017-12-24,1,3,3,0
94,2,11,杭州,2017-12-25,3,0,0,0
134,3,14,杭州,2017-12-26,3,0,0,0
111,3,14,杭州,2017-12-27,6,0,3,4
109,3,10,杭州,2017-12-28,7,0,5,5
75,2,14,杭州,2017-12-29,8,0,3,4
109,3,12,杭州,2017-12-30,4,3,5,3
237,5,11,杭州,2017-12-31,2,2,0,0
164,4,12,杭州,2018-01-01,5,0,3,3
119,3,13,杭州,2018-01-02,7,0,4,5
58,2,10,杭州,2018-01-03,6,2,14,14
27,1,6,杭州,2018-01-04,2,2,14,5
35,1,6,杭州,2018-01-05,2,2,5,4
99,2,7,杭州,2018-01-06,0,0,5,5
46,1,8,杭州,2018-01-07,1,0,5,5
77,2,5,杭州,2018-01-08,0,3,5,0
44,1,7,杭州,2018-01-09,-2,2,0,0
48,1,9,杭州,2018-01-10,-2,2,0,0
59,2,9,杭州,2018-01-11,-2,2,0,0
72,2,7,杭州,2018-01-12,-2,0,0,0
98,2,8,杭州,2018-01-13,1,0,0,0
102,3,13,杭州,2018-01-14,3,0,0,3
79,2,14,杭州,2018-01-15,6,0,3,4
96,2,16,杭州,2018-01-16,7,0,4,4
171,4,16,杭州,2018-01-17,4,0,3,3
156,4,13,杭州,2018-01-18,7,0,3,3
146,3,11,杭州,2018-01-19,7,0,3,3
121,3,9,杭州,2018-01-20,5,0,5,5
74,2,8,杭州,2018-01-21,5,0,14,5
39,1,12,杭州,2018-01-22,4,2,3,3
115,3,9,杭州,2018-01-23,1,0,4,5
60,2,4,杭州,2018-01-24,0,2,5,11
37,1,2,杭州,2018-01-25,-1,2,21,21
36,1,1,杭州,2018-01-26,-1,2,10,10
47,1,1,杭州,2018-01-27,-1,3,11,14
44,1,1,杭州,2018-01-28,-3,3,10,4
128,3,2,杭州,2018-01-29,-6,0,3,0
162,4,3,杭州,2018-01-30,-2,0,3,11
169,4,3,杭州,2018-01-31,-3,2,10,3
143,3,5,杭州,2018-02-01,-2,0,3,3
128,3,6,杭州,2018-02-02,-1,3,3,3
74,2,3,杭州,2018-02-03,-2,0,3,0
68,2,4,杭州,2018-02-04,-3,0,0,0
76,2,6,杭州,2018-02-05,-4,0,0,0
88,2,7,杭州,2018-02-06,-2,0,0,0
93,2,9,杭州,2018-02-07,-1,0,0,0
146,3,8,杭州,2018-02-08,1,0,0,3
176,4,10,杭州,2018-02-09,2,0,3,5
132,3,5,杭州,2018-02-10,0,2,5,3
91,2,9,杭州,2018-02-11,-2,2,0,0
74,2,11,杭州,2018-02-12,-2,3,0,0
55,2,14,杭州,2018-02-13,2,0,0,0
68,2,20,杭州,2018-02-14,7,0,3,4
101,3,12,杭州,2018-02-15,7,2,5,5
64,2,9,杭州,2018-02-16,6,0,5,4
66,2,12,杭州,2018-02-17,3,0,3,4
62,2,13,杭州,2018-02-18,7,2,6,5
28,1,9,杭州,2018-02-19,7,8,5,5
67,2,8,杭州,2018-02-20,4,0,14,14
48,1,8,杭州,2018-02-21,4,2,5,5
71,2,9,杭州,2018-02-22,2,0,4,0
42,1,16,杭州,2018-02-23,4,0,0,3
67,2,11,杭州,2018-02-24,7,0,14,5
65,2,10,杭州,2018-02-25,5,0,4,0
52,2,15,杭州,2018-02-26,5,0,0,3
55,2,18,杭州,2018-02-27,8,2,3,5
40,1,17,杭州,2018-02-28,6,4,5,3
63,2,18,杭州,2018-03-01,7,2,3,6
50,1,12,杭州,2018-03-02,10,2,6,6
47,1,27,杭州,2018-03-03,13,0,4,4
57,2,28,杭州,2018-03-04,8,3,3,14
36,1,10,杭州,2018-03-05,7,0,5,4
50,1,11,杭州,2018-03-06,8,2,4,3
42,1,10,杭州,2018-03-07,6,0,14,5
42,1,11,杭州,2018-03-08,3,3,4,3
124,3,12,杭州,2018-03-09,1,0,0,0
105,3,17,杭州,2018-03-10,5,0,0,0
99,2,21,杭州,2018-03-11,9,2,3,4
74,2,24,杭州,2018-03-12,12,0,3,3
66,2,25,杭州,2018-03-13,14,0,3,4
72,2,25,杭州,2018-03-14,15,2,5,5
84,2,24,杭州,2018-03-15,9,0,6,14
46,1,12,杭州,2018-03-16,8,3,5,4
55,2,16,杭州,2018-03-17,9,0,3,3
60,2,16,杭州,2018-03-18,9,0,5,14
38,1,11,杭州,2018-03-19,7,2,5,5
48,1,10,杭州,2018-03-20,6,3,5,4
48,1,10,杭州,2018-03-21,3,3,4,3
66,2,18,杭州,2018-03-22,6,0,0,3
77,2,22,杭州,2018-03-23,10,0,3,3
92,2,24,杭州,2018-03-24,12,0,3,6
84,2,23,杭州,2018-03-25,14,0,4,6
63,2,21,杭州,2018-03-26,12,0,6,3
60,2,24,杭州,2018-03-27,13,0,3,0
69,2,27,杭州,2018-03-28,14,0,0,3
71,2,28,杭州,2018-03-29,16,0,3,4
60,2,24,杭州,2018-03-30,13,2,3,3
65,2,26,杭州,2018-03-31,14,0,3,3
73,2,29,杭州,2018-04-01,17,2,3,3
84,2,28,杭州,2018-04-02,18,2,6,6
64,2,26,杭州,2018-04-03,16,0,6,6
68,2,23,杭州,2018-04-04,15,2,6,6
61,2,17,杭州,2018-04-05,10,2,14,14
74,2,15,杭州,2018-04-06,7,4,3,3
73,2,15,杭州,2018-04-07,5,3,0,0
63,2,23,杭州,2018-04-08,10,2,0,0
66,2,27,杭州,2018-04-09,14,0,0,0
70,2,30,杭州,2018-04-10,18,2,0,3
82,2,28,杭州,2018-04-11,17,2,6,6
80,2,24,杭州,2018-04-12,16,2,6,6
53,2,23,杭州,2018-04-13,15,2,6,14
43,1,15,杭州,2018-04-14,12,2,6,3
70,2,19,杭州,2018-04-15,10,0,3,3
102,3,18,杭州,2018-04-16,10,0,4,3
112,3,22,杭州,2018-04-17,9,0,3,3
91,2,27,杭州,2018-04-18,11,0,0,0
87,2,29,杭州,2018-04-19,15,2,0,0
67,2,31,杭州,2018-04-20,16,2,0,3
63,2,29,杭州,2018-04-21,19,2,6,6
62,2,30,杭州,2018-04-22,22,0,6,14
49,1,25,杭州,2018-04-23,15,0,14,5
34,1,18,杭州,2018-04-24,11,3,3,0
61,2,23,杭州,2018-04-25,13,2,0,4
87,2,24,杭州,2018-04-26,16,0,3,6
90,2,28,杭州,2018-04-27,16,0,0,0
101,3,29,杭州,2018-04-28,18,0,3,4
95,2,26,杭州,2018-04-29,19,0,6,14
50,1,28,杭州,2018-04-30,21,0,6,6
38,1,30,杭州,2018-05-01,22,2,6,6
54,2,26,杭州,2018-05-02,16,2,6,3
46,1,26,杭州,2018-05-03,15,0,0,0
67,2,28,杭州,2018-05-04,18,0,3,6
50,1,27,杭州,2018-05-05,21,0,6,6
51,2,28,杭州,2018-05-06,19,2,6,6
41,1,23,杭州,2018-05-07,17,2,6,4
48,1,26,杭州,2018-05-08,14,0,3,0
67,2,26,杭州,2018-05-09,14,2,0,0
58,2,27,杭州,2018-05-10,15,2,0,0
66,2,28,杭州,2018-05-11,19,0,3,3
71,2,29,杭州,2018-05-12,20,0,7,6
81,2,29,杭州,2018-05-13,21,0,6,3
85,2,32,杭州,2018-05-14,24,0,3,3
54,2,35,杭州,2018-05-15,25,2,3,3
54,2,37,杭州,2018-05-16,26,2,3,3
50,1,36,杭州,2018-05-17,24,0,0,3
76,2,33,杭州,2018-05-18,23,0,6,6
45,1,28,杭州,2018-05-19,23,2,6,6
30,1,26,杭州,2018-05-20,20,2,6,4
39,1,25,杭州,2018-05-21,20,2,5,4
39,1,30,杭州,2018-05-22,19,2,6,4
64,2,27,杭州,2018-05-23,18,2,3,3
90,2,27,杭州,2018-05-24,21,0,3,4
88,2,33,杭州,2018-05-25,23,0,4,6
54,2,26,杭州,2018-05-26,22,2,14,6
61,2,26,杭州,2018-05-27,22,0,6,4
68,2,30,杭州,2018-05-28,22,0,3,3
81,2,28,杭州,2018-05-29,22,0,4,6
108,3,27,杭州,2018-05-30,18,0,6,14
52,2,21,杭州,2018-05-31,17,0,14,3
60,2,22,北京,2017-04-01,5,0,3,3
92,2,23,北京,2017-04-02,6,8,3,0
158,4,25,北京,2017-04-03,12,0,3,4
176,4,20,北京,2017-04-04,12,2,4,5
83,2,19,北京,2017-04-05,9,0,4,3
124,3,25,北京,2017-04-06,10,0,3,4
106,3,20,北京,2017-04-07,14,0,4,4
118,3,18,北京,2017-04-08,7,2,4,0
93,2,19,北京,2017-04-09,8,0,3,3
91,2,19,北京,2017-04-10,10,2,3,3
64,2,22,北京,2017-04-11,7,2,0,0
66,2,25,北京,2017-04-12,9,0,0,3
93,2,21,北京,2017-04-13,8,0,4,4
97,2,26,北京,2017-04-14,11,0,3,3
70,2,29,北京,2017-04-15,14,0,0,3
130,3,27,北京,2017-04-16,14,2,4,4
191,4,27,北京,2017-04-17,12,2,3,3
63,2,23,北京,2017-04-18,11,3,0,4
81,2,20,北京,2017-04-19,11,0,4,3
75,2,22,北京,2017-04-20,11,0,3,3
52,2,22,北京,2017-04-21,9,0,3,0
83,2,27,北京,2017-04-22,13,2,3,3
60,2,24,北京,2017-04-23,11,0,3,3
69,2,23,北京,2017-04-24,11,2,3,3
36,1,19,北京,2017-04-25,8,0,3,0
41,1,24,北京,2017-04-26,11,2,0,0
45,1,28,北京,2017-04-27,13,3,0,0
56,2,30,北京,2017-04-28,14,2,0,0
76,2,33,北京,2017-04-29,17,2,3,3
108,3,29,北京,2017-04-30,13,0,0,3
87,2,26,北京,2017-05-01,14,0,3,3
94,2,29,北京,2017-05-02,17,2,3,3
108,3,28,北京,2017-05-03,16,2,4,4
396,6,27,北京,2017-05-04,14,2,3,0
273,5,21,北京,2017-05-05,11,3,20,0
72,2,29,北京,2017-05-06,12,2,0,0
62,2,30,北京,2017-05-07,15,2,0,3
86,2,31,北京,2017-05-08,16,2,3,3
82,2,29,北京,2017-05-09,15,2,0,6
63,2,29,北京,2017-05-10,15,2,0,0
90,2,31,北京,2017-05-11,13,4,0,3
111,3,29,北京,2017-05-12,15,2,0,3
59,2,28,北京,2017-05-13,15,3,3,3
41,1,27,北京,2017-05-14,14,2,3,3
49,1,28,北京,2017-05-15,15,0,3,3
76,2,32,北京,2017-05-16,17,2,3,0
102,3,34,北京,2017-05-17,19,0,0,0
123,3,35,北京,2017-05-18,21,2,0,0
129,3,36,北京,2017-05-19,22,2,0,0
102,3,34,北京,2017-05-20,20,2,0,3
86,2,31,北京,2017-05-21,18,2,4,6
57,2,21,北京,2017-05-22,16,2,8,4
40,1,28,北京,2017-05-23,14,0,0,0
50,1,33,北京,2017-05-24,17,2,3,0
66,2,30,北京,2017-05-25,16,2,0,0
80,2,31,北京,2017-05-26,17,0,0,0
98,2,34,北京,2017-05-27,21,0,0,0
136,3,36,北京,2017-05-28,22,2,3,4
70,2,27,北京,2017-05-29,18,0,4,6
65,2,26,北京,2017-05-30,16,2,6,0
106,3,33,北京,2017-05-31,19,0,4,3
63,2,30,北京,2017-06-01,17,0,0,4
58,2,25,北京,2017-06-02,13,0,6,3
54,2,28,北京,2017-06-03,16,0,0,0
83,2,31,北京,2017-06-04,19,2,3,3
98,2,28,北京,2017-06-05,15,2,4,5
56,2,20,北京,2017-06-06,14,0,5,0
72,2,31,北京,2017-06-07,18,0,0,3
51,2,34,北京,2017-06-08,20,0,3,0
78,2,37,北京,2017-06-09,21,2,0,3
62,2,30,北京,2017-06-10,17,0,4,3
72,2,31,北京,2017-06-11,18,0,4,3
66,2,27,北京,2017-06-12,18,0,4,4
62,2,29,北京,2017-06-13,17,0,3,0
69,2,35,北京,2017-06-14,21,2,0,0
82,2,38,北京,2017-06-15,24,0,0,0
100,2,36,北京,2017-06-16,24,2,3,4
118,3,35,北京,2017-06-17,25,2,6,3
114,3,34,北京,2017-06-18,23,2,4,7
74,2,31,北京,2017-06-19,21,0,7,4
77,2,34,北京,2017-06-20,22,0,3,4
85,2,32,北京,2017-06-21,22,0,6,8
48,1,23,北京,2017-06-22,20,2,18,18
36,1,24,北京,2017-06-23,19,0,7,7
35,1,25,北京,2017-06-24,18,2,6,4
54,2,30,北京,2017-06-25,20,0,3,3
56,2,33,北京,2017-06-26,21,0,3,0
112,3,34,北京,2017-06-27,22,0,3,0
120,3,34,北京,2017-06-28,23,0,3,3
103,3,35,北京,2017-06-29,24,0,7,3
108,3,35,北京,2017-06-30,25,0,3,3
122,3,35,北京,2017-07-01,25,0,3,3
139,3,35,北京,2017-07-02,24,0,3,0
83,2,35,北京,2017-07-03,24,0,3,7
70,2,31,北京,2017-07-04,23,0,7,7
111,3,30,北京,2017-07-05,23,0,3,7
95,2,25,北京,2017-07-06,23,0,18,18
54,2,32,北京,2017-07-07,23,0,4,3
64,2,34,北京,2017-07-08,25,0,3,7
114,3,34,北京,2017-07-09,23,0,3,3
64,2,36,北京,2017-07-10,19,0,3,3
95,2,36,北京,2017-07-11,26,0,3,3
118,3,36,北京,2017-07-12,27,0,3,3
94,2,36,北京,2017-07-13,25,0,3,7
60,2,32,北京,2017-07-14,24,0,7,4
55,2,33,北京,2017-07-15,25,0,4,4
95,2,34,北京,2017-07-16,25,0,3,0
76,2,34,北京,2017-07-17,25,0,0,3
88,2,33,北京,2017-07-18,25,0,6,6
98,2,31,北京,2017-07-19,25,0,4,3
123,3,33,北京,2017-07-20,25,0,7,17
44,1,27,北京,2017-07-21,23,0,5,6
37,1,28,北京,2017-07-22,24,0,4,4
59,2,28,北京,2017-07-23,24,0,6,6
63,2,29,北京,2017-07-24,23,0,6,6
52,2,29,北京,2017-07-25,22,0,6,4
39,1,24,北京,2017-07-26,20,0,14,6
58,2,28,北京,2017-07-27,23,0,4,3
52,2,30,北京,2017-07-28,22,0,3,4
56,2,30,北京,2017-07-29,22,0,3,3
70,2,31,北京,2017-07-30,21,0,3,0
110,3,31,北京,2017-07-31,23,0,0,3
94,2,30,北京,2017-08-01,24,0,4,7
52,2,28,北京,2017-08-02,24,0,14,8
38,1,33,北京,2017-08-03,24,0,4,0
55,2,36,北京,2017-08-04,25,0,0,3
63,2,32,北京,2017-08-05,23,0,7,7
42,1,34,北京,2017-08-06,24,0,3,0
40,1,35,北京,2017-08-07,24,0,3,0
74,2,33,北京,2017-08-08,22,0,4,7
44,1,30,北京,2017-08-09,23,0,7,0
85,2,32,北京,2017-08-10,24,0,3,3
122,3,33,北京,2017-08-11,23,2,7,14
45,1,31,北京,2017-08-12,22,0,7,7
60,2,29,北京,2017-08-13,23,0,7,7
46,1,30,北京,2017-08-14,23,0,3,3
