eleme_restaurant_id,order_date,weekday,exposure_num,exposure_user,open_minutes,lunch_open_minutes,dinner_open_minutes,every_discounted
950035,2017-04-21,5,0,0,600,121,121,15.987755102040817
950035,2017-04-22,6,0,0,575,96,121,17.287037037037038
950035,2017-04-23,7,0,0,600,121,121,16.392982456140352
950035,2017-04-24,1,0,0,600,121,121,17.221052631578946
950035,2017-04-25,2,0,0,600,121,121,16.99047619047619
950035,2017-04-26,3,0,0,600,121,121,13.352941176470589
950035,2017-04-27,4,0,0,600,121,121,15.24375
950035,2017-04-28,5,0,0,600,121,121,12.876315789473685
950035,2017-04-29,6,0,0,600,121,121,11.845833333333333
950035,2017-04-30,7,0,0,600,121,121,13.42222222222222
950035,2017-05-01,1,0,0,600,121,121,14.648484848484848
950035,2017-05-02,2,0,0,600,121,121,13.154545454545454
950035,2017-05-03,3,0,0,600,121,121,14.44090909090909
950035,2017-05-04,4,0,0,600,121,121,14.582608695652173
950035,2017-05-05,5,0,0,600,121,121,13.025714285714285
950035,2017-05-06,6,0,0,600,121,121,15.264285714285714
950035,2017-05-07,7,0,0,600,121,121,15.539130434782608
950035,2017-05-08,1,6864,4771,600,121,121,17.025581395348837
950035,2017-05-09,2,6759,4734,600,121,121,16.754166666666666
950035,2017-05-10,3,6865,4732,600,121,121,13.777777777777779
950035,2017-05-11,4,6580,4728,600,121,121,14.282758620689656
950035,2017-05-12,5,7180,4947,630,121,121,15.013333333333334
950035,2017-05-13,6,9552,6248,630,121,121,16.072727272727274
950035,2017-05-14,7,9699,6419,630,121,121,16.688095238095237
950035,2017-05-15,1,7004,4823,630,121,121,16.214285714285715
950035,2017-05-16,2,7364,5011,630,121,121,17.532432432432433
950035,2017-05-17,3,8051,5625,630,121,121,16.735
950035,2017-05-18,4,7338,5198,630,121,121,14.633333333333333
950035,2017-05-19,5,7366,5023,630,121,121,15.628571428571428
950035,2017-05-20,6,7604,5451,630,121,121,15.925
950035,2017-05-21,7,9089,6388,630,121,121,13.846153846153847
950035,2017-05-22,1,8525,5936,630,121,121,15.485714285714286
950035,2017-05-23,2,7245,5149,630,121,121,15.40625
950035,2017-05-24,3,7273,4868,630,121,121,15.546153846153844
950035,2017-05-25,4,7307,4923,630,121,121,15.77142857142857
950035,2017-05-26,5,7129,4860,630,121,121,17.680487804878048
